Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 21, lowerchoice",28.0,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 3, lowerchoice",26.4,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 4, lowerchoice",25.8,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 8, lowerchoice",28.5,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 9, lowerchoice",28.6,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 14, lowerchoice",27.9,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 15, lowerchoice",30.4,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 26, lowerchoice",29.9,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 27, lowerchoice",26.3,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 33, lowerchoice",27.9,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 34, lowerchoice",26.0,Beef Products,0,Medium
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 5, select",21.5,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 10, select",23.5,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 11, select",22.9,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 16, select",23.5,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 17, select",23.1,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 18, select",23.8,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 22, select",23.6,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 23, select",22.4,Beef Products,0,Medium
